OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
670,GO-20141470629,2014.02.04,2014,February,4,Tuesday,35,D32,Shooting,105,Lawrence Park North,105,Lawrence Park North (105),-79.40439249,43.73365868
671,GO-20141500533,2014.02.09,2014,February,9,Sunday,40,D22,Shooting,20,Alderwood,20,Alderwood (20),-79.55299342,43.60886207
672,GO-20141518863,2014.02.12,2014,February,12,Wednesday,43,D23,Stabbing,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.5798746,43.7386479
673,GO-20141663866,2014.03.08,2014,March,8,Saturday,67,D54,Shooting,44,Flemingdon Park,44,Flemingdon Park (44),-79.33636829,43.71837527
674,GO-20141667340,2014.03.09,2014,March,9,Sunday,68,D22,Stabbing,159,Etobicoke City Centre,14,Islington-City Centre West (14),-79.52184695,43.63352851
675,GO-20141668180,2014.03.12,2014,March,12,Wednesday,71,D55,Other,65,Greenwood-Coxwell,65,Greenwood-Coxwell (65),-79.33004679,43.68013102
676,GO-20141703847,2014.03.15,2014,March,15,Saturday,74,D55,Stabbing,70,South Riverdale,70,South Riverdale (70),-79.35164308,43.66197339
677,GO-20141703051,2014.03.15,2014,March,15,Saturday,74,D43,Stabbing,142,Woburn North,137,Woburn (137),-79.22963152,43.76038304
678,GO-20141731923,2014.03.19,2014,March,19,Wednesday,78,D55,Shooting,62,East End-Danforth,62,East End-Danforth (62),-79.30921367,43.68567061
679,GO-20141731923,2014.03.19,2014,March,19,Wednesday,78,D55,Shooting,62,East End-Danforth,62,East End-Danforth (62),-79.30921367,43.68567061
680,GO-20141766614,2014.03.25,2014,March,25,Tuesday,84,D11,Shooting,91,Weston-Pelham Park,91,Weston-Pellam Park (91),-79.45236684,43.6684799
681,GO-20141824235,2014.04.04,2014,April,4,Friday,94,D51,Shooting,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71),-79.36805348,43.66445725
682,GO-20141880069,2014.04.12,2014,April,12,Saturday,102,D42,Shooting,144,Morningside Heights,131,Rouge (131),-79.21301749,43.81908813
683,GO-20142003751,2014.05.02,2014,May,2,Friday,122,D13,Shooting,107,Oakwood Village,107,Oakwood Village (107),-79.44530997,43.69675861
684,GO-20142145283,2014.05.24,2014,May,24,Saturday,144,D55,Shooting,65,Greenwood-Coxwell,65,Greenwood-Coxwell (65),-79.3272439,43.67452992
685,GO-20142242196,2014.06.10,2014,June,10,Tuesday,161,D42,Other,129,Agincourt North,129,Agincourt North (129),-79.29001497,43.80973176
686,GO-20142439822,2014.07.06,2014,July,6,Sunday,187,D51,Shooting,73,Moss Park,73,Moss Park (73),-79.37397666,43.65851067
687,GO-20142452482,2014.07.08,2014,July,8,Tuesday,189,D32,Shooting,31,Yorkdale-Glen Park,31,Yorkdale-Glen Park (31),-79.4472319,43.71885288
688,GO-20142499434,2014.07.15,2014,July,15,Tuesday,196,D33,Other,147,L'Amoreaux West,117,L'Amoreaux (117),-79.32705448,43.78386791
689,GO-20142665166,2014.08.09,2014,August,9,Saturday,221,D22,Stabbing,13,Etobicoke West Mall,13,Etobicoke West Mall (13),-79.56971993,43.65158597
690,GO-20142728301,2014.08.18,2014,August,18,Monday,230,D12,Shooting,115,Mount Dennis,115,Mount Dennis (115),-79.49881935,43.68447022
691,GO-20142777149,2014.08.26,2014,August,26,Tuesday,238,D14,Shooting,164,Wellington Place,77,Waterfront Communities-The Island (77),-79.39448378,43.64402406
692,GO-20142804113,2014.08.30,2014,August,30,Saturday,242,D14,Other,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),-79.4268547,43.66173038
693,GO-20142849540,2014.09.05,2014,September,5,Friday,248,D51,Other,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71),-79.36955832,43.66816846
